Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,2,6,Some Random Commen with Id 0
1,0,6,58,7,Some Random Commen with Id 1
2,0,6,75,2,Some Random Commen with Id 2
3,0,6,57,3,Some Random Commen with Id 3
4,0,6,78,1,Some Random Commen with Id 4
5,0,6,97,3,Some Random Commen with Id 5
6,0,6,2,9,Some Random Commen with Id 6
7,1,8,185,2,Some Random Commen with Id 7
8,1,8,193,4,Some Random Commen with Id 8
9,1,8,101,8,Some Random Commen with Id 9
10,1,8,18,6,Some Random Commen with Id 10
11,1,8,90,5,Some Random Commen with Id 11
12,1,8,119,2,Some Random Commen with Id 12
13,2,1,110,1,Some Random Commen with Id 13
14,2,1,25,8,Some Random Commen with Id 14
15,2,1,160,9,Some Random Commen with Id 15
16,2,1,78,7,Some Random Commen with Id 16
17,2,1,118,7,Some Random Commen with Id 17
18,2,1,152,8,Some Random Commen with Id 18
19,2,1,46,8,Some Random Commen with Id 19
20,4,8,10,4,Some Random Commen with Id 20
21,4,8,172,9,Some Random Commen with Id 21
22,5,8,59,5,Some Random Commen with Id 22
23,5,8,95,7,Some Random Commen with Id 23
24,5,8,77,4,Some Random Commen with Id 24
25,5,8,43,3,Some Random Commen with Id 25
26,5,8,176,7,Some Random Commen with Id 26
27,5,8,165,0,Some Random Commen with Id 27
28,5,8,184,4,Some Random Commen with Id 28
29,6,0,141,7,Some Random Commen with Id 29
30,6,0,128,6,Some Random Commen with Id 30
31,6,0,22,4,Some Random Commen with Id 31
32,6,0,169,3,Some Random Commen with Id 32
33,6,0,32,4,Some Random Commen with Id 33
34,6,0,98,2,Some Random Commen with Id 34
35,6,0,42,3,Some Random Commen with Id 35
36,6,0,198,2,Some Random Commen with Id 36
37,7,8,27,0,Some Random Commen with Id 37
38,8,9,110,2,Some Random Commen with Id 38
39,8,9,64,2,Some Random Commen with Id 39
40,8,9,42,8,Some Random Commen with Id 40
41,8,9,118,4,Some Random Commen with Id 41
42,8,9,123,7,Some Random Commen with Id 42
43,8,9,81,8,Some Random Commen with Id 43
44,8,9,57,4,Some Random Commen with Id 44
45,9,9,16,0,Some Random Commen with Id 45
46,9,9,108,8,Some Random Commen with Id 46
47,9,9,180,3,Some Random Commen with Id 47
48,9,9,80,9,Some Random Commen with Id 48
49,9,9,42,3,Some Random Commen with Id 49
50,9,9,125,4,Some Random Commen with Id 50
51,9,9,82,4,Some Random Commen with Id 51
52,9,9,27,6,Some Random Commen with Id 52
53,10,4,25,9,Some Random Commen with Id 53
54,10,4,146,9,Some Random Commen with Id 54
55,11,4,148,1,Some Random Commen with Id 55
56,11,4,56,4,Some Random Commen with Id 56
57,11,4,127,6,Some Random Commen with Id 57
58,11,4,54,7,Some Random Commen with Id 58
59,11,4,112,7,Some Random Commen with Id 59
60,11,4,99,7,Some Random Commen with Id 60
61,11,4,52,5,Some Random Commen with Id 61
62,12,7,65,9,Some Random Commen with Id 62
63,12,7,174,7,Some Random Commen with Id 63
64,12,7,176,1,Some Random Commen with Id 64
65,13,2,159,2,Some Random Commen with Id 65
66,14,7,75,7,Some Random Commen with Id 66
67,14,7,121,6,Some Random Commen with Id 67
68,14,7,90,6,Some Random Commen with Id 68
69,14,7,140,4,Some Random Commen with Id 69
70,14,7,126,1,Some Random Commen with Id 70
71,14,7,93,3,Some Random Commen with Id 71
72,14,7,150,5,Some Random Commen with Id 72
73,14,7,17,2,Some Random Commen with Id 73
74,14,7,191,9,Some Random Commen with Id 74
75,15,7,31,6,Some Random Commen with Id 75
76,15,7,175,3,Some Random Commen with Id 76
77,15,7,90,7,Some Random Commen with Id 77
78,15,7,170,4,Some Random Commen with Id 78
79,16,9,37,1,Some Random Commen with Id 79
80,16,9,128,3,Some Random Commen with Id 80
81,16,9,199,3,Some Random Commen with Id 81
82,16,9,129,8,Some Random Commen with Id 82
83,16,9,171,5,Some Random Commen with Id 83
84,16,9,107,4,Some Random Commen with Id 84
85,17,9,158,2,Some Random Commen with Id 85
86,17,9,161,8,Some Random Commen with Id 86
87,17,9,79,4,Some Random Commen with Id 87
88,17,9,142,9,Some Random Commen with Id 88
89,20,9,183,1,Some Random Commen with Id 89
90,20,9,80,6,Some Random Commen with Id 90
91,20,9,105,1,Some Random Commen with Id 91
92,20,9,133,2,Some Random Commen with Id 92
93,20,9,186,4,Some Random Commen with Id 93
94,20,9,133,5,Some Random Commen with Id 94
95,21,4,185,7,Some Random Commen with Id 95
96,21,4,191,5,Some Random Commen with Id 96
97,21,4,139,4,Some Random Commen with Id 97
98,21,4,153,8,Some Random Commen with Id 98
99,21,4,82,0,Some Random Commen with Id 99
100,21,4,137,5,Some Random Commen with Id 100
101,23,0,47,2,Some Random Commen with Id 101
102,23,0,84,1,Some Random Commen with Id 102
103,23,0,161,0,Some Random Commen with Id 103
104,23,0,142,2,Some Random Commen with Id 104
105,23,0,111,3,Some Random Commen with Id 105
106,23,0,143,9,Some Random Commen with Id 106
107,23,0,153,2,Some Random Commen with Id 107
108,25,9,50,5,Some Random Commen with Id 108
109,26,3,52,9,Some Random Commen with Id 109
110,26,3,172,8,Some Random Commen with Id 110
111,26,3,153,5,Some Random Commen with Id 111
112,26,3,154,4,Some Random Commen with Id 112
113,27,1,147,1,Some Random Commen with Id 113
114,27,1,78,0,Some Random Commen with Id 114
115,27,1,87,3,Some Random Commen with Id 115
116,27,1,128,7,Some Random Commen with Id 116
117,27,1,137,7,Some Random Commen with Id 117
118,28,0,195,9,Some Random Commen with Id 118
119,28,0,83,1,Some Random Commen with Id 119
120,28,0,161,3,Some Random Commen with Id 120
121,28,0,108,6,Some Random Commen with Id 121
122,28,0,144,8,Some Random Commen with Id 122
123,28,0,182,0,Some Random Commen with Id 123
124,28,0,15,1,Some Random Commen with Id 124
